,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,Douglas-Peterson,0,4,0,6,0,0,0,0,0,5,0,0,4,0,0,4,0,6,0,0,0,0,0,5.0,0,0,4.0,0,,false
Clay,Garfield-Herdland,0,6,0,3,0,0,4,0,0,2,0,0,1,0,0,8,0,0,0,0,6,0,0,0.0,0,0,0.0,0,,false
Clay,Lake-Freeman,0,7,0,4,0,0,4,0,0,3,0,0,5,0,0,7,0,4,0,0,4,0,0,0.0,0,0,8.0,0,,false
Clay,Lincoln-Clay,0,1,1,2,0,0,2,0,0,3,0,0,4,4,0,0,0,0,0,0,3,0,0,3.0,0,0,5.0,4,,false
Clay,Logan-Gillett Grove,1,3,0,2,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0.0,0,0,5.0,0,,false
Clay,Spencer Ward 1,0,11,0,15,0,0,5,0,0,18,1,0,12,2,0,11,0,19,0,0,0,0,0,19.0,0,1,14.0,0,,false
Clay,Spencer Ward 2,0,14,0,13,0,0,8,0,0,18,0,0,13,4,0,14,0,20,0,0,0,0,0,19.0,0,0,13.0,0,,false
Clay,Spencer Ward 3,0,19,0,17,0,0,14,0,0,24,0,0,6,1,0,19,0,17,0,0,20,0,0,25.0,0,0,0.0,0,,false
Clay,Spencer Ward 4,0,25,0,16,0,0,23,0,0,11,1,0,12,7,0,30,0,17,0,0,31,0,0,15.0,0,0,0.0,0,,false
Clay,Spencer Ward 5,0,18,0,14,0,0,18,0,0,15,0,0,6,0,0,19,0,16,0,0,21,0,0,15.0,0,0,0.0,0,,false
Clay,Summit-Riverton-Sioux-Meadow,0,8,0,10,0,0,6,0,0,5,0,0,4,2,0,9,0,17,0,0,7,0,0,0.0,0,0,0.0,2,,false
Clay,Waterford-Lone Tree,0,6,0,2,0,0,2,0,0,0,0,0,2,0,0,6,0,2,0,0,2,0,0,0.0,0,0,3.0,0,,false
