,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,1-GR,0,15,0,19,0,0,23,0,15,0,14,0,0,0,0,15,0,19,0,0,23,0,15,0,14,0,0,0,,false
Butler,2-CL,0,13,0,4,0,0,14,0,16,3,15,0,0,2,0,14,0,0,0,0,19,0,17,0,15,0,0,2,,false
Butler,3-DU,0,2,0,1,0,0,1,0,9,1,4,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,1,,false
Butler,4-AL,0,9,0,11,0,0,0,0,10,0,2,6,0,3,0,9,0,13,0,0,0,0,11,0,0,8,0,0,,false
Butler,5-AP,0,7,0,7,0,0,2,0,7,0,6,1,0,0,0,7,0,8,0,0,0,0,7,0,8,0,0,0,,false
Butler,6-SR,0,12,0,14,0,0,15,0,22,0,12,0,0,0,0,12,0,14,0,0,15,0,22,0,12,0,0,0,,false
Butler,7-PB,0,13,0,9,0,0,9,0,14,0,10,3,0,3,0,13,0,10,0,0,10,0,15,0,11,2,0,0,,false
Butler,8-NH,0,16,0,12,0,1,1,0,10,0,6,4,0,0,0,16,0,19,0,0,0,0,13,0,0,0,0,2,,false
