,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson 01,0,28,0,37,0,0,28,0,12,0,19,0,0,0,0,28,0,43,0,0,30,0,0,0,23,0,0,0,,false
Jackson,Jackson 02,0,11,1,11,0,0,1,0,7,0,7,0,0,4,0,11,0,16,0,0,0,0,0,0,10,0,0,5,,false
Jackson,Jackson 03,0,9,0,17,0,0,0,0,7,0,8,2,0,3,0,11,0,17,0,0,0,0,9,0,9,0,0,0,,false
Jackson,Jackson 04,0,12,0,27,0,0,4,0,14,0,2,13,0,3,0,14,0,28,0,0,0,0,14,0,2,14,0,3,,false
Jackson,Jackson 05,0,9,0,6,0,0,4,0,0,0,1,0,0,0,0,9,0,7,0,0,4,0,0,0,0,0,0,0,,false
Jackson,Jackson 06,0,12,0,16,0,0,8,0,5,0,6,0,0,0,0,12,0,16,0,0,8,0,11,0,0,0,0,0,,false
Jackson,Jackson 07,0,13,0,23,0,0,17,0,11,1,12,0,0,0,0,13,0,26,0,0,18,0,0,1,18,0,0,1,,false
Jackson,Jackson 08,0,7,0,6,0,0,2,0,3,4,0,0,0,4,0,9,0,9,0,0,0,0,0,7,0,0,1,0,,false
Jackson,Jackson 09,0,12,0,16,0,0,6,0,13,0,9,0,0,0,0,14,0,20,0,0,0,0,13,0,9,0,0,0,,false
Jackson,Jackson 10,0,1,0,6,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,,false
Jackson,Jackson 11,0,9,0,7,0,1,1,0,0,0,0,0,0,1,0,10,0,7,0,0,0,0,0,0,0,0,0,0,,false
Jackson,Jackson 12,0,3,0,5,0,0,4,0,6,0,0,0,0,0,0,3,0,5,0,0,4,0,6,0,0,0,0,0,,false
Jackson,Jackson 13,0,7,0,8,0,0,2,0,7,2,8,3,0,0,0,10,0,0,0,0,0,0,10,0,9,0,0,0,,false
Jackson,Jackson 14,0,8,0,11,0,0,2,0,16,0,10,0,0,0,0,9,0,12,0,0,0,0,16,0,10,0,0,0,,false
Jackson,Jackson 15,0,10,0,14,0,0,8,0,7,0,13,1,0,0,0,11,0,19,0,0,8,0,0,0,15,0,0,0,,false
Jackson,Jackson 16,0,27,0,21,0,1,15,0,5,2,2,2,0,0,0,30,0,25,0,0,18,0,0,0,0,0,0,0,,false
