,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,BLOOMFIELD BROOKFIELD DEL,0,7,0,13,0,0,2,0,0,3,0,2,6,0,0,7,0,13,0,0,2,0,0,3.0,0,2,6.0,0,,false
Clinton,CAMANCHE 1,0,12,0,16,0,0,11,0,0,12,5,1,7,4,0,18,0,19,0,0,14,0,0,15.0,0,0,0.0,0,,false
Clinton,CAMANCHE 2,0,19,0,12,0,0,3,0,0,10,3,0,6,3,0,22,0,18,0,0,0,0,0,15.0,0,0,0.0,0,,false
Clinton,CENTER TWP,0,1,0,0,0,0,2,0,0,5,2,0,3,1,0,0,0,0,0,0,0,0,0,9.0,5,0,0.0,0,,false
Clinton,CLINTON 1-1,0,12,0,15,0,0,3,0,0,19,0,0,8,9,0,16,0,18,0,0,0,0,0,21.0,0,1,0.0,10,,false
Clinton,CLINTON 1-2,0,14,0,14,0,0,4,0,0,27,0,3,16,5,0,18,0,18,0,0,0,0,0,30.0,0,0,17.0,0,,false
Clinton,CLINTON 2-1,0,9,2,15,0,0,9,0,0,26,5,1,15,8,0,0,0,17,0,0,15,0,0,20.0,0,0,20.0,8,,false
Clinton,CLINTON 2-2,0,40,0,36,0,0,13,0,0,38,9,1,21,14,0,47,0,48,0,0,0,0,0,41.0,0,0,32.0,0,,false
Clinton,CLINTON 3-1,0,35,0,30,0,1,25,0,0,45,6,0,16,3,0,37,0,31,0,0,38,0,0,49.0,0,0,3.0,0,,false
Clinton,CLINTON 3-2,0,48,1,32,0,0,13,0,0,30,0,0,23,6,0,52,0,39,0,0,0,0,0,33.0,0,0,25.0,0,,false
Clinton,CLINTON 4-1,0,25,0,27,0,0,22,0,0,29,2,0,22,10,0,27,0,27,0,0,25,0,0,31.0,0,0,25.0,0,,false
Clinton,CLINTON 4-2,0,29,0,21,0,2,3,0,0,33,2,0,15,9,0,33,0,30,0,0,0,0,0,43.0,0,0,0.0,0,,false
Clinton,DEEP CREEK GOOSE LAKE,0,6,0,3,0,0,0,0,0,1,1,0,1,0,0,6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,,false
Clinton,DEWITT 1,0,17,0,29,0,0,15,0,0,17,0,3,15,4,0,17,0,34,0,0,16,0,0,17.0,0,0,16.0,0,,false
Clinton,DEWITT 2,0,36,0,41,0,0,25,0,0,25,2,0,14,9,0,36,0,46,0,0,34,0,0,30.0,0,4,0.0,0,,false
Clinton,DEWITT TWP,0,10,0,11,0,0,9,0,0,2,6,0,6,2,0,10,0,11,0,0,9,0,0,0.0,7,0,9.0,0,,false
Clinton,EDEN CAMANCHE TWP,0,3,0,4,0,0,4,0,0,8,0,1,2,0,0,3,0,4,0,0,4,0,0,8.0,0,0,2.0,0,,false
Clinton,ELK RIVER HAMPSHIRE ANDOV,0,12,4,22,0,1,14,0,0,7,0,0,7,1,0,15,4,22,0,0,16,0,0,10.0,0,0,0.0,0,,false
Clinton,LIBERTY TORONTO,0,1,0,3,0,0,1,0,0,4,3,0,1,0,0,1,0,3,0,0,1,0,0,4.0,3,0,1.0,0,,false
Clinton,LOW MOOR,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,2.0,0,0,1.0,0,,false
Clinton,OLIVE GRANT CALAMUS,0,3,0,6,0,0,7,0,0,4,1,2,8,0,0,13,0,0,0,0,3,0,0,4.0,0,0,11.0,0,,false
Clinton,ORANGE GRAND MOUND,0,7,0,6,0,0,0,0,0,7,2,0,6,0,0,9,0,10,0,0,0,0,0,9.0,0,0,0.0,0,,false
Clinton,SHARON LOST NATION,0,3,0,7,0,0,2,0,0,4,0,0,5,0,0,0,0,21,0,0,0,0,0,0.0,0,0,0.0,0,,false
Clinton,SPRING ROCK WHEATLAND,0,4,0,7,0,0,3,0,0,9,0,0,3,0,0,7,0,8,0,0,0,0,0,10.0,0,0,0.0,0,,false
Clinton,WATERFORD CHARLOTTE,0,3,0,6,0,0,3,0,0,4,1,1,2,2,0,3,0,10,0,0,0,0,0,4.0,1,2,2.0,0,,false
Clinton,WELTON WASHINGTON WELTON,0,7,0,6,0,0,4,0,0,5,3,0,3,1,0,8,0,13,0,0,0,0,0,7.0,0,1,0.0,0,,false
